County RegisteredVoters Total_Votes_Cast Voter_Turnout Absentee_By_Mail_Voters Early_Voters Percentage_Of_Early_Voters Percentage_of_Early_And_Absentee_Voters
Smith 12,608 1,856 14.72% 51 622 33.51% 36.26%
Stewart 8,532 1,484 17.39% 123 537 36.19% 44.47%
Sullivan 86,106 14,630 16.99% 390 4294 29.35% 32.02%
Sumner 97,410 20,640 21.19% 352 3516 17.03% 18.74%
Tipton 38,461 5,015 13.04% 61 1169 23.31% 24.53%
Trousdale 5,324 753 14.14% 20 313 41.57% 44.22%
Unicoi 11,248 2,903 25.81% 81 1139 39.24% 42.03%
Union 10,641 1,542 14.49% 86 158 10.25% 15.82%
Van Buren 4,628 1,301 28.11% 52 506 38.89% 42.89%
Warren 22,352 7,337 32.82% 68 3036 41.38% 42.31%
Washington 72,869 12,942 17.76% 344 3333 25.75% 28.41%
Wayne 10,429 1,218 11.68% 32 371 30.46% 33.09%
Weakley 20,699 2,703 13.06% 49 724 26.79% 28.60%
White 16,384 2,567 15.67% 83 782 30.46% 33.70%
Williamson 127,071 27,868 21.93% 203 6757 24.25% 24.97%
Wilson 72,301 13,559 18.75% 152 3186 23.50% 24.62%
