County Register_Voters Total_Votes_Cast Voter_Turnout Absentee_By_Mail_Voters Early_Voters Percentage_Of_Early_Voters Percentage_of_Early_And_Absentee_Voters
Polk 11,478 6,215 54.15% 192 2548 41.00% 44.09%
Putnam 43,867 25,661 58.50% 741 13901 54.17% 57.06%
Rhea 20,047 10,788 53.81% 352 5123 47.49% 50.75%
Roane 35,615 21,436 60.19% 672 12095 56.42% 59.56%
Robertson 40,712 26,427 64.91% 520 13676 51.75% 53.72%
Rutherford 155,259 99,258 63.93% 1,965 62832 63.30% 65.28%
Scott 14,647 6,748 46.07% 249 3347 49.60% 53.29%
Sequatchie 8,582 5,188 60.45% 81 2357 45.43% 46.99%
Sevier 57,502 34,067 59.24% 787 15911 46.71% 49.02%
Shelby 598,983 372,778 62.24% 6,363 228069 61.18% 62.89%
Smith 12,814 7,171 55.96% 181 3852 53.72% 56.24%
Stewart 8,816 5,172 58.67% 273 2849 55.09% 60.36%
Sullivan 89,306 60,639 67.90% 1,903 37741 62.24% 65.38%
Sumner 103,115 65,855 63.87% 1,616 30098 45.70% 48.16%
Tipton 40,106 24,246 60.45% 489 15374 63.41% 65.43%
Trousdale 5,466 2,953 54.02% 52 1870 63.33% 65.09%
Unicoi 11,616 7,195 61.94% 195 4043 56.19% 58.90%
Union 11,007 5,859 53.23% 271 1511 25.79% 30.41%
Van Buren 4,695 2,348 50.01% 55 1069 45.53% 47.87%
Warren 23,002 13,189 57.34% 203 7211 54.67% 56.21%
Washington 76,332 48,313 63.29% 1,478 25025 51.80% 54.86%
Wayne 10,586 5,543 52.36% 185 2460 44.38% 47.72%
Weakley 21,235 12,622 59.44% 323 6322 50.09% 52.65%
White 16,727 9,347 55.88% 273 4851 51.90% 54.82%
Williamson 134,610 96,657 71.81% 2,424 65194 67.45% 69.96%
Wilson 75,876 51,780 68.24% 905 31132 60.12% 61.87%
