County Register_Voters Total_Votes_Cast Voter_Turnout Absentee_By_Mail_Voters Early_Voters Percentage_Of_Early_Voters Percentage_of_Early_And_Absentee_Voters
Shelby 584,443 132,934 22.75% 881 62167 46.77% 47.43%
Smith 12,686 3,108 24.50% 66 1496 48.13% 50.26%
Stewart 8,650 2,781 32.15% 159 1635 58.79% 64.51%
Sullivan 86,933 13,588 15.63% 316 6405 47.14% 49.46%
Sumner 99,822 19,452 19.49% 244 6168 31.71% 32.96%
Tipton 39,123 7,575 19.36% 100 4106 54.20% 55.52%
Trousdale 5,431 1,680 30.93% 33 987 58.75% 60.71%
Unicoi 11,406 4,073 35.71% 77 2085 51.19% 53.08%
Union 10,824 3,824 35.33% 184 1011 26.44% 31.25%
Van Buren 4,637 1,479 31.90% 52 669 45.23% 48.75%
Warren 22,545 6,058 26.87% 54 2812 46.42% 47.31%
Washington 74,245 11,443 15.41% 342 4209 36.78% 39.77%
Wayne 10,483 1,777 16.95% 32 730 41.08% 42.88%
Weakley 20,839 2,071 9.94% 48 846 40.85% 43.17%
White 16,488 2,528 15.33% 93 1162 45.97% 49.64%
Williamson 129,558 16,999 13.12% 143 7549 44.41% 45.25%
Wilson 73,352 13,164 17.95% 175 5498 41.77% 43.09%
